title,platform,file_id,direct_url
Zelda II: The Adventure of Link,NES,1nxiTPqfezTBJLFUe-TgsBMTQMzzu-7n8,https://drive.google.com/uc?export=download&id=1nxiTPqfezTBJLFUe-TgsBMTQMzzu-7n8
title,platform,file_id,direct_url
title,platform,file_id,direct_url
Donkey Kong Country 2: Diddy's Kong Quest,SNES,17CQazhEXpMzPEF-6Yzic_fnJszuE1HLZ,https://drive.google.com/uc?export=download&id=17CQazhEXpMzPEF-6Yzic_fnJszuE1HLZ
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1SJBHzd0rMqgIUKdSQBwLzZ6U6TeY1vMU,https://drive.google.com/uc?export=download&id=1SJBHzd0rMqgIUKdSQBwLzZ6U6TeY1vMU
Donkey Kong Country,SNES,1QY4fa1vBVt4bnuQpvMmfv3-LGlOwnorF,https://drive.google.com/uc?export=download&id=1QY4fa1vBVt4bnuQpvMmfv3-LGlOwnorF
Doom,SNES,1PdcApQXTA8q5HSftnJj-EDLw46VDSP1V,https://drive.google.com/uc?export=download&id=1PdcApQXTA8q5HSftnJj-EDLw46VDSP1V
EarthBound,SNES,1dQ1WpYFL9r7zNrgwFnGPS5R2uA2k4WEs,https://drive.google.com/uc?export=download&id=1dQ1WpYFL9r7zNrgwFnGPS5R2uA2k4WEs
F-Zero,SNES,1yjWvseCY_YmKqxSrOx_gk7BWFiq9Kde0,https://drive.google.com/uc?export=download&id=1yjWvseCY_YmKqxSrOx_gk7BWFiq9Kde0
Kirby Super Star,SNES,1FT62ZP7fM3NtnZ_c5pwl7s9mglisDOvg,https://drive.google.com/uc?export=download&id=1FT62ZP7fM3NtnZ_c5pwl7s9mglisDOvg
Kirby's Avalanche,SNES,1VMwWT6rDY9pEXKSfssnFGi8s96Cl2jHi,https://drive.google.com/uc?export=download&id=1VMwWT6rDY9pEXKSfssnFGi8s96Cl2jHi
